Set1,Set2,PartSimilarityScore
Puppy Playground,Puppy Playground,1.0
Puppy Playground,Heartlake Dog Show,0.8421052631578947
Puppy Playground,Adventure Camp Archery,0.8421052631578947
Puppy Playground,Mia's Beach Scooter,0.8421052631578947
Puppy Playground,Puppy Championship,0.8
Puppy Playground,Puppy Parade,0.7619047619047619
Puppy Playground,Heartlake Party Shop,0.7619047619047619
Puppy Playground,Emma's Photo Studio,0.75
Puppy Playground,Emma's Lifeguard Post,0.75
Puppy Playground,Mia's Bedroom,0.75
Puppy Playground,Puppy Treats & Tricks,0.7368421052631579
Puppy Playground,Heartlake News Van,0.7272727272727273
Puppy Playground,Vet Clinic,0.7272727272727273
Puppy Playground,Emma's Ice Cream Truck,0.7272727272727273
Puppy Playground,Andrea’s Stage,0.7222222222222222
Puppy Playground,Pop Star Recording Studio,0.7142857142857143
Puppy Playground,Olivia's Ice Cream Bike,0.7142857142857143
Puppy Playground,Heartlake Summer Pool,0.7083333333333334
Puppy Playground,Heartlake Riding Club,0.7083333333333334
Puppy Playground,Winter Fun,0.7058823529411765
Puppy Playground,Heartlake Puppy Daycare,0.6956521739130435
Puppy Playground,Advent Calendar 2016 Friends,0.6956521739130435
Puppy Playground,Emma’s Fashion Design Studio,0.6842105263157895
Puppy Playground,Party Gift Shop,0.6842105263157895
Puppy Playground,Andrea's Mountain Hut,0.6842105263157895
Puppy Playground,Heartlake Pet Salon,0.6818181818181818
Puppy Playground,Stephanie's Friendship Cakes,0.6818181818181818
Puppy Playground,Olivia's Exploration Car,0.6818181818181818
Puppy Playground,Party Train,0.6818181818181818
Puppy Playground,Heartlake Lighthouse,0.6666666666666666
Puppy Playground,Stephanie's Beach House,0.6666666666666666
Puppy Playground,Heartlake Vet,0.6666666666666666
Puppy Playground,Heartlake Flying Club,0.6666666666666666
Puppy Playground,Olivia's Speedboat,0.6666666666666666
Puppy Playground,Stephanie's Pizzeria,0.6666666666666666
Puppy Playground,Mini Golf,0.6666666666666666
Puppy Playground,Pop Star Dressing Room,0.6521739130434783
Puppy Playground,Heartlake City Pool,0.6521739130434783
Puppy Playground,Heartlake Stables,0.6521739130434783
Puppy Playground,Birthday Party,0.6521739130434783
Puppy Playground,Model Catwalk,0.65
Puppy Playground,Olivia's Newborn Foal,0.65
Puppy Playground,Emma's Karate Course,0.65
Puppy Playground,Andrea's Musical Duet,0.65
Puppy Playground,Olivia's Garden Pool,0.65
Puppy Playground,Olivia's Invention Workshop,0.65
Puppy Playground,Jungle Accessory Set,0.6470588235294118
Puppy Playground,Pop Star Limousine,0.64
Puppy Playground,Advent Calendar 2015 Friends,0.64
Puppy Playground,Heartlake Supermarket,0.64
Puppy Playground,Heartlake Pizzeria,0.64
Puppy Playground,Sunshine Harvest,0.6363636363636364
Puppy Playground,Emma's  Horse Trailer,0.6363636363636364
Puppy Playground,Jungle Falls Rescue,0.6363636363636364
Puppy Playground,Stephanie’s Cool Convertible,0.6363636363636364
Puppy Playground,Emma's Tourist Kiosk,0.6363636363636364
Puppy Playground,Mia's Lemonade Stand,0.6363636363636364
Puppy Playground,Sunshine Ranch,0.625
Puppy Playground,Butterfly Beauty Shop,0.625
Puppy Playground,Amusement Park Hot Dog Van,0.625
Puppy Playground,Heartlake Cupcake Cafe,0.6153846153846154
Puppy Playground,Heartlake Food Market,0.6153846153846154
Puppy Playground,Bowling Alley,0.6111111111111112
Puppy Playground,Andrea's Beach Lounge,0.6111111111111112
Puppy Playground,Summer Caravan,0.6086956521739131
Puppy Playground,Heartlake Juice Bar,0.6086956521739131
Puppy Playground,Emma's Sports Car,0.6086956521739131
Puppy Playground,Heartlake Horse Show,0.6
Puppy Playground,City Park Café,0.6
Puppy Playground,Heartlake Skate Park,0.6
Puppy Playground,Downtown Bakery,0.6
Puppy Playground,Heartlake Hot Air Balloon,0.6
Puppy Playground,Mia's Vet Clinic,0.6
Puppy Playground,Amusement Park Arcade,0.6
Puppy Playground,Andrea's Bunny House,0.6
Puppy Playground,Mia's Magic Tricks,0.6
Puppy Playground,Party Styling,0.6
Puppy Playground,Adventure Camp Rafting,0.5925925925925926
Puppy Playground,Heartlake Gift Delivery,0.5925925925925926
Puppy Playground,Jungle Tree Sanctuary,0.5925925925925926
Puppy Playground,Mini-doll Campsite Set,0.5882352941176471
Puppy Playground,Bunny's Hutch,0.5882352941176471
Puppy Playground,Adventure Camp Bridge,0.5882352941176471
Puppy Playground,Heartlake Sports Center,0.5862068965517241
Puppy Playground,Emma's Pool Slide,0.5789473684210527
Puppy Playground,Gymnastic Bar,0.5789473684210527
Puppy Playground,Heartlake Private Jet,0.5769230769230769
Puppy Playground,Stephanie's House,0.5714285714285714
Puppy Playground,Summer Riding Camp,0.5714285714285714
Puppy Playground,Vet Ambulance,0.5714285714285714
Puppy Playground,Stephanie's Horse Carriage,0.5714285714285714
Puppy Playground,Olivia’s Tree House,0.5652173913043478
Puppy Playground,Foal's Washing Station,0.5652173913043478
Puppy Playground,Horse Vet Trailer,0.56
Puppy Playground,Adventure Camper,0.56
Puppy Playground,Rehearsal Stage,0.56
Puppy Playground,Livi’s Pop Star House,0.5555555555555556
Puppy Playground,Heartlake Hair Salon,0.5555555555555556
Puppy Playground,Puppy Training,0.5555555555555556
Puppy Playground,Stephanie's Bakery Stand,0.5555555555555556
Puppy Playground,Emma's Splash Pool,0.5555555555555556
Puppy Playground,Turtle's Little Paradise,0.5555555555555556
Puppy Playground,Halloween Toy Shop,0.5555555555555556
Puppy Playground,Panda's Bamboo,0.5555555555555556
Puppy Playground,Trick Or Treat,0.5555555555555556
Puppy Playground,Smoothie Stand,0.55
Puppy Playground,Party Cakes,0.55
Puppy Playground,Jungle Boat,0.55
Puppy Playground,Puppy Pampering,0.5454545454545454
Puppy Playground,Mia's Roadster,0.5416666666666666
Puppy Playground,Heartlake Performance School,0.5333333333333333
Puppy Playground,Amusement Park Bumper Cars,0.5333333333333333
Puppy Playground,Summer Picnic,0.5294117647058824
Puppy Playground,Kitten foil pack,0.5294117647058824
Puppy Playground,Desk,0.5294117647058824
Puppy Playground,LEGO Friends Magazine Issue 'Friends on the beach' Polybag,0.5294117647058824
Puppy Playground,Bunny and Babies,0.5263157894736842
Puppy Playground,Cupcake Stall,0.5263157894736842
Puppy Playground,Wish Fountain,0.5263157894736842
Puppy Playground,Stephanie's New Born Lamb,0.5238095238095238
Puppy Playground,Stephanie's Soccer Practice,0.5238095238095238
Puppy Playground,Water Scooter Fun,0.5238095238095238
Puppy Playground,Emma's Creative Workshop,0.5217391304347826
Puppy Playground,Olivia’s Beach Buggy,0.5217391304347826
Puppy Playground,Pop Star TV Studio,0.5185185185185185
Puppy Playground,Pop Star Tour Bus,0.5172413793103449
Puppy Playground,Olivia’s House,0.5172413793103449
Puppy Playground,Emma’s House,0.5
Puppy Playground,Adventure Camp Tree House,0.5
Puppy Playground,Dolphin Cruiser,0.5
Puppy Playground,Heartlake City Airport,0.5
Puppy Playground,Pop Star Show Stage,0.5
Puppy Playground,Amusement Park Space Ride,0.5
Puppy Playground,Mia’s Puppy House,0.5
Puppy Playground,Stephanie's Outdoor Bakery,0.5
Puppy Playground,Brown Bear's River,0.5
Puppy Playground,Hedgehog's Hideaway,0.5
Puppy Playground,Parrot's Perch,0.5
Puppy Playground,Macaw's Fountain,0.5
Puppy Playground,Scary Shop,0.5
Puppy Playground,Stephanie and Mailbox,0.5
Puppy Playground,Ice Cream Cart,0.5
Puppy Playground,Cute Kitten,0.5
Puppy Playground,Pony Grooming Kit,0.5
Puppy Playground,Heartlake Shopping Mall,0.48484848484848486
Puppy Playground,First Aid Jungle Bike,0.48148148148148145
Puppy Playground,Olivia's Creative Lab,0.4782608695652174
Puppy Playground,Andrea's Bedroom,0.47619047619047616
Puppy Playground,Emma's Flower Stand,0.47368421052631576
Puppy Playground,Penguin's Playground,0.47368421052631576
Puppy Playground,Skate Boarder,0.47368421052631576
Puppy Playground,Squirrel's Tree House,0.47368421052631576
Puppy Playground,Valentine’s day,0.47368421052631576
Puppy Playground,Little Foal,0.47368421052631576
Puppy Playground,Jungle Adventures,0.47368421052631576
Puppy Playground,LEGO Friends Magazine Issue 'Jungle adventures' Polybag,0.47368421052631576
Puppy Playground,Turtle's Little Oasis,0.47058823529411764
Puppy Playground,Happy Beach,0.47058823529411764
Puppy Playground,Turtle’s island,0.47058823529411764
Puppy Playground,Jungle Rescue Base,0.46875
Puppy Playground,Build Your Own Adventure with Liza Mini-Doll and Touring Car,0.45
Puppy Playground,Stephanie’s Pet Patrol,0.45
Puppy Playground,Heartlake Grand Hotel ,0.4444444444444444
Puppy Playground,Puppy's Playhouse,0.4444444444444444
Puppy Playground,Poodle's Little Palace,0.4444444444444444
Puppy Playground,Tiger's Beautiful Temple,0.4444444444444444
Puppy Playground,Orangutan's Banana Tree,0.4444444444444444
Puppy Playground,Sweet Garden And Kitchen,0.4444444444444444
Puppy Playground,Party And Cake,0.4444444444444444
Puppy Playground,This moments,0.4444444444444444
Puppy Playground,Jungle Bridge Rescue,0.4411764705882353
Puppy Playground,Heartlake High,0.4375
Puppy Playground,Amusement Park Roller Coaster,0.43243243243243246
Puppy Playground,Lion Cub's Savannah,0.42857142857142855
Puppy Playground,Friends Picture Frame,0.42105263157894735
Puppy Playground,Fawn's Forest,0.42105263157894735
Puppy Playground,Seal's Little Rock,0.42105263157894735
Puppy Playground,Gifts wrapping table,0.42105263157894735
Puppy Playground,Cute Kitchen,0.42105263157894735
Puppy Playground,Bunny And Garden,0.4117647058823529
Puppy Playground,Baby Parrot And Nest,0.4117647058823529
Puppy Playground,Bear in Ice Cave foil pack,0.4117647058823529
Puppy Playground,Beach Hammock,0.4117647058823529
Puppy Playground,Cookie Cart,0.4
Puppy Playground,Cookie Kitchen,0.4
Puppy Playground,Friends Interior Design Kit,0.4
Puppy Playground,Pop Star,0.3888888888888889
Puppy Playground,Andrea on the Beach,0.3888888888888889
Puppy Playground,Cat's Playground,0.3888888888888889
Puppy Playground,Picnic Set,0.3888888888888889
Puppy Playground,Christmas Tree,0.3888888888888889
Puppy Playground,Charlie The Puppy,0.3888888888888889
Puppy Playground,Cookie The Superstar,0.3888888888888889
Puppy Playground,Olivia’s laboratory,0.3888888888888889
Puppy Playground,"Advent Calendar 2013, Friends (Day  7) - Stand #2",0.3888888888888889
Puppy Playground,"Advent Calendar 2013, Friends (Day  5) - Stand #1",0.3888888888888889
Puppy Playground,Summer Beach,0.3684210526315789
Puppy Playground,Ice Cream Stand,0.3684210526315789
Puppy Playground,Guitar And Stage,0.3684210526315789
Puppy Playground,Wishing Well,0.35294117647058826
Puppy Playground,"Advent Calendar 2014, Friends (Day 17) - Holiday Fireplace",0.35294117647058826
Puppy Playground,Wishing Well [Toys R Us Promo],0.35294117647058826
Puppy Playground,Rabbit and hutch,0.35294117647058826
Puppy Playground,Dressing Table,0.35
Puppy Playground,Dressing table,0.35
Puppy Playground,Hedgehog Storage,0.3333333333333333
Puppy Playground,Organiser,0.3333333333333333
Puppy Playground,"Advent Calendar 2014, Friends (Day 24) - Present with Skates, Camera",0.3333333333333333
Puppy Playground,Hedgehog In The Woods,0.3333333333333333
Puppy Playground,"Advent Calendar 2014, Friends (Day 2) - Sled",0.3333333333333333
Puppy Playground,LEGO Friends Buildable Jewelry Box,0.3181818181818182
Puppy Playground,Garden And Wheelbarrow,0.3157894736842105
Puppy Playground,"Advent Calendar 2012, Friends (Day 3) - Street Light with Garland",0.29411764705882354
Puppy Playground,"Advent Calendar 2013, Friends (Day 21) - Musical Score",0.29411764705882354
Puppy Playground,"Advent Calendar 2013, Friends (Day  3) - Lamp Post",0.29411764705882354
Puppy Playground,"Advent Calendar 2014, Friends (Day 18) - End Table and Book",0.29411764705882354
Puppy Playground,"Advent Calendar 2012, Friends (Day 5) - Snowman",0.29411764705882354
Puppy Playground,"Advent Calendar 2013, Friends (Day 16) - Skates with Flower in Snow",0.29411764705882354
Puppy Playground,"Advent Calendar 2013, Friends (Day 20) - Christmas Tree",0.29411764705882354
Puppy Playground,Friends Tic-Tac-Toe,0.29411764705882354
Puppy Playground,"Advent Calendar 2013, Friends (Day 18) - Snowman",0.29411764705882354
Puppy Playground,"Advent Calendar 2012, Friends (Day 2) - Sled",0.29411764705882354
Puppy Playground,"Advent Calendar 2013, Friends (Day 17) - Cell Phone /Music Player Docking Station",0.29411764705882354
Puppy Playground,Car,0.2857142857142857
Puppy Playground,"Advent Calendar 2013, Friends (Day  9) - Basket",0.2777777777777778
Puppy Playground,"Advent Calendar 2012, Friends (Day 21) - Fireplace",0.2777777777777778
Puppy Playground,"Advent Calendar 2014, Friends (Day 5) - Holiday Window Scene",0.2777777777777778
Puppy Playground,Party Polybag,0.2777777777777778
Puppy Playground,"Advent Calendar 2013, Friends (Day 8) - Cups, Milk and Cookies",0.2777777777777778
Puppy Playground,"Advent Calendar 2014, Friends (Day 13) - Sideboard",0.2777777777777778
Puppy Playground,"Advent Calendar 2014, Friends (Day 15) - Sink",0.2777777777777778
Puppy Playground,"Advent Calendar 2012, Friends (Day 17) - Mailbox with Letter",0.2777777777777778
Puppy Playground,Display Stand,0.2777777777777778
Puppy Playground,Disco Dance Floor,0.2727272727272727
Puppy Playground,Happy The Cute Dolphin,0.2631578947368421
Puppy Playground,Friends Party Set,0.2631578947368421
Puppy Playground,"Advent Calendar 2014, Friends (Day 19) - Sofa",0.23529411764705882
Puppy Playground,"Advent Calendar 2012, Friends (Day 22) - Christmas Tree",0.23529411764705882
Puppy Playground,"Advent Calendar 2012, Friends (Day 23) - Medium Blue/White Present with Letter",0.23529411764705882
Puppy Playground,"Advent Calendar 2013, Friends (Day 24) - Present with Letter",0.23529411764705882
Puppy Playground,"Advent Calendar 2012, Friends (Day 18) - Lime/White Present With Letter",0.23529411764705882
Puppy Playground,"Advent Calendar 2014, Friends (Day 16) - Cake and Cups",0.23529411764705882
Puppy Playground,"Advent Calendar 2013, Friends (Day 13) - Sled",0.23529411764705882
Puppy Playground,"Advent Calendar 2014, Friends (Day 9) - Holiday Candle",0.23529411764705882
Puppy Playground,Bracelets,0.23529411764705882
Puppy Playground,"Advent Calendar 2014, Friends (Day 22) - Large Present",0.23529411764705882
Puppy Playground,"Advent Calendar 2012, Friends (Day 14) - Dog Basket with Bone",0.23529411764705882
Puppy Playground,"Advent Calendar 2013, Friends (Day 15) - Bench",0.23529411764705882
Puppy Playground,"Advent Calendar 2012, Friends (Day 13) - Stool and Plate with Candies",0.23529411764705882
Puppy Playground,"Advent Calendar 2014, Friends (Day 3) - Gift and Basket",0.23529411764705882
Puppy Playground,"Advent Calendar 2013, Friends (Day 22) - Basket with Leaf",0.23529411764705882
Puppy Playground,"Advent Calendar 2013, Friends (Day 19) - Flame",0.23529411764705882
Puppy Playground,"Advent Calendar 2012, Friends (Day 8) - Table with Stool",0.23529411764705882
Puppy Playground,"Advent Calendar 2014, Friends (Day 8) - Chairs",0.23529411764705882
Puppy Playground,Hair Accessories,0.23529411764705882
Puppy Playground,"Advent Calendar 2013, Friends (Day  2) - Snowmobile",0.2222222222222222
Puppy Playground,"Advent Calendar 2014, Friends (Day 21) - Radio and Cell Phone",0.2222222222222222
Puppy Playground,Penguin Ice Slide,0.2222222222222222
Puppy Playground,"Advent Calendar 2012, Friends (Day 11) - Present for Dog",0.2222222222222222
Puppy Playground,"Advent Calendar 2013, Friends (Day 14) - Fountain",0.2222222222222222
Puppy Playground,"Advent Calendar 2012, Friends (Day 9) - Breakfast",0.2222222222222222
Puppy Playground,"Advent Calendar 2014, Friends (Day 11) - Stove",0.21052631578947367
Puppy Playground,"Advent Calendar 2012, Friends (Day 24) - Corner Table with Beauty Accessories",0.21052631578947367
Puppy Playground,"Advent Calendar 2013, Friends (Day  6) - Perfume Bottles",0.21052631578947367
Puppy Playground,"Advent Calendar 2012, Friends (Day 20) - Flower Arrangement",0.17647058823529413
Puppy Playground,"Advent Calendar 2014, Friends (Day 14) - Goblets and Food",0.17647058823529413
Puppy Playground,"Advent Calendar 2012, Friends (Day 10) - Sled Trailer #1",0.17647058823529413
Puppy Playground,"Advent Calendar 2014, Friends (Day 12) - Sweets and Saucepan",0.17647058823529413
Puppy Playground,"Advent Calendar 2012, Friends (Day 15) - Sled Trailer #2",0.17647058823529413
Puppy Playground,"Advent Calendar 2014, Friends (Day 4) - Deer and Tree",0.17647058823529413
Puppy Playground,"Advent Calendar 2013, Friends (Day 11) - Basket with Money",0.17647058823529413
Puppy Playground,"Advent Calendar 2014, Friends (Day 20) - White Cat",0.17647058823529413
Puppy Playground,"Advent Calendar 2014, Friends (Day 23) - Christmas Tree",0.16666666666666666
Puppy Playground,Friends Baking Set,0.16666666666666666
Puppy Playground,"Advent Calendar 2013, Friends (Day 12) - Presents",0.16666666666666666
Puppy Playground,"Advent Calendar 2014, Friends (Day 7) - Table",0.11764705882352941
Puppy Playground,"Advent Calendar 2013, Friends (Day 23) - Squirrel",0.11764705882352941
Puppy Playground,"Advent Calendar 2012, Friends (Day 4) - Skis and Ski Poles",0.11764705882352941
Puppy Playground,"Advent Calendar 2012, Friends (Day 16) - Basket with Broom and Snow Balls",0.1111111111111111
Puppy Playground,"Advent Calendar 2012, Friends (Day 7) - Friends Accessories",0.058823529411764705
Puppy Playground,"Advent Calendar 2013, Friends (Day 10) - Friends Accessories",0.058823529411764705
Puppy Playground,"Advent Calendar 2014, Friends (Day 10) - Friends Kitchen Accessories",0.058823529411764705
Puppy Playground,"Advent Calendar 2014, Friends (Day 6) - Ewa, Christmas Outfit",0.058823529411764705
Puppy Playground,"Advent Calendar 2014, Friends (Day 1) - Mia",0.058823529411764705
Puppy Playground,"Advent Calendar 2013, Friends (Day  4) - Lily, Christmas Outfit",0.058823529411764705
Puppy Playground,"Advent Calendar 2012, Friends (Day 6) - Christina, Red Christmas Outfit",0.058823529411764705
Puppy Playground,"Advent Calendar 2012, Friends (Day 1) - Olivia, Long Sleeve Chrismas Top",0.058823529411764705
Puppy Playground,"Advent Calendar 2013, Friends (Day  1) - Stephanie",0.058823529411764705
Puppy Playground,"Advent Calendar 2012, Friends (Day 12) - Dog",0.058823529411764705
Puppy Playground,"Advent Calendar 2012, Friends (Day 19) - Handbag",0.058823529411764705
Puppy Playground,Stephanie,0.05555555555555555
Puppy Playground,Best Friends Promotional Brick Set,0.0